VictimID,CaseMasterID,TruePersonID,RenderedName,CanonicalName,Variant,Script,AgeRecorded,TrueBirthYear
258,1777,V000208,ನವೀನ ತಿಮ್ಮಪ್ಪ,Naveen Timmappa,KN_FULL,kannada,69,1958
259,1778,V000209,Ambika S/o Seeddappa,Ambika Siddappa,LA_SONOF,latin,54,1974
260,1785,V000210,Krishnamurthya Chennappa,Krishnamurthy Chennappa,LA_FULL,latin,36,1995
261,1831,V000211, ರಾಜಣ್ಣ,Rajanna Doddappa,KN_GIVEN,kannada,42,1984
262,1832,V000212,ಬಸಪ್ಪ,Basappa Chikkegowda,KN_GIVEN,kannada,68,1958
263,1833,V000043,Rakes B,Rakesh Boregowda,LA_INITIAL_SUFFIX,latin,36,1990
264,1837,V000029,Bhagya s/o. Rangapa,Bhagya Rangappa,LA_SONOF_DOT,latin,21,2000
265,1838,V000213,ಶ್ವೇತಾ ಪುಟ್ಟಪ್ಪ,Shwetha Puttappa,KN_FULL,kannada,22,2004
266,1839,V000214,P. Eranna,Puttaswamy Eranna,LA_INITIAL_PREFIX,latin,36,1989
267,1843,V000215,Raju Siddappa,Raju Siddappa,LA_FULL,latin,56,1969
268,1844,V000216,Veeresh Mallappa,Veeresh Mallappa,LA_FULL,latin,34,1992
269,1845,V000217,ಶಿವಕುಮಾರ ಗುರಪ್ಪ,Shivakumar Gurappa,KN_FULL,kannada,31,1990
270,1848,V000218,ಕುಮಾರ ದುರ್ಗಪ್ಪ,Kumar Durgappa,KN_FULL,kannada,22,2003
271,1862,V000219,Kavitha Sangappa,Kavitha Sangappa,LA_FULL,latin,28,1998
272,1873,V000220,ತಿಮ್ಮರಾಜು ಪುಟ್ಟಪ್ಪ,Thimmaraju Puttappa,KN_FULL,kannada,54,1973
273,1894,V000221,S. Puttapa,Srinivas Puttappa,LA_INITIAL_PREFIX,latin,30,1991
274,1895,V000222,Pushpa S/o Venkatappa,Pushpa Venkatappa,LA_SONOF,latin,53,1978
275,1896,V000125,Suresh,Suresh Nagappa,LA_GIVEN,latin,25,2006
276,1927,V000063,Gangadhar Sangapp,Gangadhar Sangappa,LA_FULL,latin,47,1974
277,1928,V000223,ವಿಜಯಲಕ್ಷ್ಮಿ ಬೋರೇಗೌಡ,Vijayalakshmi Boregowda,KN_FULL,kannada,56,1971
278,1929,V000064,ನಾಗೇಶ Rangappa,Nagesh Rangappa,MIX_KNGIVEN_LAFATHER,mixed,66,1958
279,1935,V000161,Lakshmi Durgappa,Lakshmi Durgappa,LA_FULL,latin,25,1999
280,1947,V000224,Prakash S/o Erana,Prakash Eranna,LA_SONOF,latin,28,1998
281,1953,V000225,ಅಂಬಿಕಾ ತಂದೆ ದುರ್ಗಪ್ಪ,Ambika Durgappa,KN_TANDE,kannada,58,1968
282,1971,V000226,S. Kempegowd,Srinivas Kempegowda,LA_INITIAL_PREFIX,latin,46,1985
283,1976,V000227,Madha Chikkegowda,Madhu Chikkegowda,LA_FULL,latin,24,2002
284,1993,V000228,Santosh Boregowda,Santosh Boregowda,LA_FULL,latin,28,1998
285,1994,V000229, Putaswamy,Puttaswamy Yamanappa,LA_GIVEN,latin,25,2006
286,2003,V000230,Kiran Durgappa,Kiran Durgappa,LA_FULL,latin,35,1986
287,2008,V000231,Madhu S/o Sangappa,Madhu Sangappa,LA_SONOF,latin,26,2000
288,2013,V000232,Erappa S/o Yamanapp,Erappa Yamanappa,LA_SONOF,latin,56,1970
289,2016,V000233,Ashok  Gurappa,Ashok Gurappa,LA_FULL,latin,33,1991
290,2020,V000234,Yashoda Muniyappa,Yashoda Muniyappa,LA_FULL,latin,20,2006
291,2025,V000235,ದೇವರಾಜ,Devaraj Mallappa,KN_GIVEN,kannada,38,1993
292,2029,V000236,ಮಂಜುಳಾ ತಂದೆ ಚಿಕ್ಕೇಗೌಡ,Manjula Chikkegowda,KN_TANDE,kannada,59,1966
293,2030,V000237,Y. Mariyappa,Yashoda Mariyappa,LA_INITIAL_PREFIX,latin,62,1964
294,2031,V000238,Ambik K,Ambika Kempegowda,LA_INITIAL_SUFFIX,latin,38,1988
295,2035,V000122,Prakash Ningappa,Prakash Ningappa,LA_FULL,latin,47,1984
296,2036,V000015,L. Eranna,Lakshmi Eranna,LA_INITIAL_PREFIX,latin,35,1996
297,2041,V000239,Ningaraj,Ningaraj Siddappa,LA_GIVEN,latin,54,1972
298,2045,V000240,Venkatesh‍ Somappa ,Venkatesh Somappa,LA_FULL,latin,61,1960
299,2053,V000241, ಹನುಮಂತ ಮುನಿಯಪ್ಪ,Hanumantha Muniyappa,KN_FULL,kannada,59,1962
300,2055,V000242,ಸಿದ್ದರಾಜು ,Siddaraju Venkatappa,KN_GIVEN,kannada,38,1988
301,2057,V000243,Ningaraja Nagappa,Ningaraj Nagappa,LA_FULL,latin,21,2006
302,2075,V000244,Sunil C,Sunil Chikkegowda,LA_INITIAL_SUFFIX,latin,46,1980
303,2083,V000245,Nagaraj Mallappa,Nagaraj Mallappa,LA_FULL,latin,71,1960
304,2084,V000246,Roopa S/o Gurappa,Roopa Gurappa,LA_SONOF,latin,62,1964
305,2105,V000247,Roopa,Roopa Kempegowda,LA_GIVEN,latin,57,1964
306,2106,V000248,ವಿಜಯಲಕ್ಷ್ಮಿ ತಂದೆ ಹನುಮಪ್ಪ,Vijayalakshmi Hanumappa,KN_TANDE,kannada,42,1984
307,2120,V000249,Vijayalakshmi Timmappa,Vijayalakshmi Timmappa,LA_FULL,latin,25,2001
308,2128,V000021,Kumar Gurappa,Kumar Gurappa,LA_FULL,latin,50,1977
309,2130,V000250,ಮಧು Kempegowda,Madhu Kempegowda,MIX_KNGIVEN_LAFATHER,mixed,63,1963
310,2131,V000251,ಶ್ರೀನಿವಾಸ ಪುಟ್ಟಪ್ಪ,Srinivas Puttappa,KN_FULL,kannada,49,1982
311,2132,V000252,ಶಾರದಾ ಮಲ್ಲಪ್ಪ,Sharada Mallappa,KN_FULL,kannada,51,1970
312,2133,V000253,ಸವಿತಾ ತಂದೆ ಈರಣ್ಣ,Savitha Eranna,KN_TANDE,kannada,24,2002
313,2137,V000254,Sunitha Mariappa,Sunitha Mariyappa,LA_FULL,latin,38,1990
314,2138,V000255,S. Eranna,Sunitha Eranna,LA_INITIAL_PREFIX,latin,52,1973
315,2139,V000121,ನಾಗೇಶ ನಿಂಗಪ್ಪ,Nagesh Ningappa,KN_FULL,kannada,42,1989
316,2140,V000256,Basappa Sunil,Sunil Basappa,LA_REORDER,latin,59,1967
317,2141,V000257,A. Chennapp,Ambika Chennappa,LA_INITIAL_PREFIX,latin,53,1975
318,2142,V000258,ರೇಖಾ ತಂದೆ ರಂಗಪ್ಪ,Rekha Rangappa,KN_TANDE,kannada,27,1998
319,2143,V000259,Kiran Eranna,Kiran Eranna,LA_FULL,latin,70,1958
320,2144,V000260,Nages s/o. Chennappa,Nagesh Chennappa,LA_SONOF_DOT,latin,40,1986
321,2177,V000261,Chandra Doddappa,Chandru Doddappa,LA_FULL,latin,45,1981
322,2178,V000262,Chandru Kempegowda,Chandru Kempegowda,LA_FULL,latin,42,1983
323,2179,V000263,Vijayalaksmi Krishnappa,Vijayalakshmi Krishnappa,LA_FULL,latin,62,1969
324,2180,V000264,ಪ್ರಸಾದ,Prasad Fakirappa,KN_GIVEN,kannada,65,1961
325,2182,V000265,Yashoda Chennappa,Yashoda Chennappa,LA_FULL,latin,46,1981
326,2183,V000266,Basappa,Basappa Venkatappa,LA_GIVEN,latin,23,2003
327,2202,V000107,Kiran S,Kiran Sangappa,LA_INITIAL_SUFFIX,latin,41,1985
328,2205,V000010,Kiran  Somapp,Kiran Somappa,LA_FULL,latin,41,1986
329,2208,V000267,Rakesh,Rakesh Chikkegowda,LA_GIVEN,latin,40,1985
330,2262,V000268,ವಿಜಯಲಕ್ಷ್ಮಿ ತಂದೆ ಪುಟ್ಟಪ್ಪ,Vijayalakshmi Puttappa,KN_TANDE,kannada,30,1996
331,2264,V000269,Ramesh Shivappa,Ramesh Shivappa,LA_FULL,latin,59,1966
332,2275,V000270,Sunitha Eranna,Sunitha Eranna,LA_FULL,latin,46,1979
333,2277,V000271,Chandrasekar,Chandrashekar Sangappa,LA_GIVEN,latin,41,1983
334,2278,V000272,Devaraj Ramegowd,Devaraj Ramegowda,LA_FULL,latin,60,1971
335,2279,V000004,ಶೋಭಾ ಮಲ್ಲಪ್ಪ,Shobha Mallappa,KN_FULL,kannada,44,1982
336,2280,V000273,S. Basappa,Savitha Basappa,LA_INITIAL_PREFIX,latin,47,1979
337,2317,V000274,Ravi Ningappa,Ravi Ningappa,LA_FULL,latin,37,1991
338,2318,V000275,S. Durgappa,Somashekar Durgappa,LA_INITIAL_PREFIX,latin,58,1968
339,2319,V000276,ಶಿವಕುಮಾರ,Shivakumar Sangappa,KN_GIVEN,kannada,32,1994
340,2320,V000277,Kempegowda Basappa,Basappa Kempegowda,LA_REORDER,latin,36,1990
341,2321,V000278,Praveen Rangappa,Praveen Rangappa,LA_FULL,latin,56,1970
342,2322,V000279,ಕುಮಾರ ತಂದೆ ಬಸಪ್ಪ,Kumar Basappa,KN_TANDE,kannada,26,2000
343,2345,V000280, Shankara S/o Chennappa,Shankar Chennappa,LA_SONOF,latin,29,1996
344,2350,V000281,ಲಕ್ಷ್ಮಿ ರಾಮೇಗೌಡ,Lakshmi Ramegowda,KN_FULL,kannada,42,1989
345,2391,V000159,LOKESH MARIYAPPA,Lokesh Mariyappa,LA_UPPER,latin,26,2000
346,2394,V000282,Neengaraj S/o Durgappa,Ningaraj Durgappa,LA_SONOF,latin,66,1960
347,2395,V000283,Siddaraja,Siddaraju Chennappa,LA_GIVEN,latin,48,1979
348,2402,V000284,ಗೋಪಾಲ,Gopal Chikkegowda,KN_GIVEN,kannada,58,1969
349,2409,V000285,Doddabasapa Krishnapp,Doddabasappa Krishnappa,LA_FULL,latin,47,1979
350,2410,V000286,Mahadev,Mahadev Sangappa,LA_GIVEN,latin,44,1984
351,2411,V000056, ಸಂತೋಷ ತಂದೆ ಗುರಪ್ಪ,Santosh Gurappa,KN_TANDE,kannada,50,1976
352,2412,V000287,MALLIKARJUN GURAPPA,Mallikarjuna Gurappa,LA_UPPER,latin,37,1990
353,2415,V000288,R. Boregowd,Ravi Boregowda,LA_INITIAL_PREFIX,latin,52,1974
354,2416,V000289,Basapp Geetha,Geetha Basappa,LA_REORDER,latin,59,1965
355,2417,V000016,Ganesh,Ganesh Mariyappa,LA_GIVEN,latin,45,1986
356,2426,V000290,N Nagappa,Ningaraj Nagappa,LA_INITIAL_PREFIX,latin,42,1984
357,2436,V000027,Deepak S/o Krishnappa,Deepak Krishnappa,LA_SONOF,latin,63,1963
358,2438,V000202,Doddabasappa‍ S/o Ningappa,Doddabasappa Ningappa,LA_SONOF,latin,28,1993
359,2439,V000047,Sharanappa,Sharanappa Sangappa,LA_GIVEN,latin,18,2003
360,2448,V000291,ಸಿದ್ದರಾಜು ತಂದೆ ಸಂಗಪ್ಪ,Siddaraju Sangappa,KN_TANDE,kannada,39,1987
361,2449,V000063,Gangadhar S/o Sangappa,Gangadhar Sangappa,LA_SONOF,latin,51,1974
362,2462,V000292,L. Mariyappa,Lakshmi Mariyappa,LA_INITIAL_PREFIX,latin,56,1975
363,2499,V000293,ಸೋಮಶೇಖರ ಕೃಷ್ಣಪ್ಪ,Somashekar Krishnappa,KN_FULL,kannada,47,1979
364,2500,V000294,Kreeshnamurthy Mariyappa ,Krishnamurthy Mariyappa,LA_FULL,latin,45,1981
365,2503,V000295,Arun D,Arun Durgappa,LA_INITIAL_SUFFIX,latin,51,1976
366,2507,V000296,Thimmaraju S/o Somappa,Thimmaraju Somappa,LA_SONOF,latin,45,1976
367,2524,V000297,Sharada Doddappa,Sharada Doddappa,LA_FULL,latin,49,1978
368,2525,V000298,Somapa Renuka,Renuka Somappa,LA_REORDER,latin,30,1995
369,2526,V000299,Ravi,Ravi Ramegowda,LA_GIVEN,latin,23,2004
370,2540,V000300,Bhagy Yamanappa,Bhagya Yamanappa,LA_FULL,latin,41,1985
371,2545,V000301,ಮಹಾದೇವ,Mahadev Rangappa,KN_GIVEN,kannada,45,1980
372,2551,V000302,V.E.,Vijay Eranna,LA_INITIAL_BOTH,latin,46,1980
373,2572,V000303,ಶಿವಕುಮಾರ ತಂದೆ ಯಮನಪ್ಪ,Shivakumar Yamanappa,KN_TANDE,kannada,34,1992
374,2573,V000304,Gopal,Gopal Mallappa,LA_GIVEN,latin,25,2001
375,2575,V000305,Anand Ramegowda,Anand Ramegowda,LA_FULL,latin,35,1991
376,2577,V000306,Thimmaraju Nagappa,Thimmaraju Nagappa,LA_FULL,latin,38,1987
377,2578,V000307, Yallappa Rangapp,Yallappa Rangappa,LA_FULL,latin,51,1975
378,2580,V000156,ಗೀತಾ ಬಸಪ್ಪ,Geetha Basappa,KN_FULL,kannada,56,1969
379,2607,V000308,ಸವಿತಾ,Savitha Basappa,KN_GIVEN,kannada,62,1964
380,2613,V000309,G.R.,Geetha Ramegowda,LA_INITIAL_BOTH,latin,52,1974
381,2614,V000310,Krisnamurthy Nagapa,Krishnamurthy Nagappa,LA_FULL,latin,54,1972
382,2615,V000311,Naveen S/o Boregowda,Naveen Boregowda,LA_SONOF,latin,33,1993
383,2619,V000312,Sunith s/o. Nagappa,Sunitha Nagappa,LA_SONOF_DOT,latin,49,1982
384,2627,V000118,Geetha Muniyappa,Geetha Muniyappa,LA_FULL,latin,57,1969
385,2628,V000313,ಪ್ರಸಾದ ಬಸಪ್ಪ,Prasad Basappa,KN_FULL,kannada,41,1984
386,2630,V000314,ವಿಜಯಲಕ್ಷ್ಮಿ ಫಕೀರಪ್ಪ,Vijayalakshmi Fakirappa,KN_FULL,kannada,60,1968
387,2632,V000315,ಸಿದ್ದರಾಜು ಹನುಮಪ್ಪ ,Siddaraju Hanumappa,KN_FULL,kannada,31,1996
388,2634,V000316,ಸವಿತಾ ತಂದೆ ರಾಮೇಗೌಡ,Savitha Ramegowda,KN_TANDE,kannada,35,1992
389,2659,V000029,B.Rangappa,Bhagya Rangappa,LA_INITIAL_PREFIX,latin,26,2000
390,2672,V000133,Gurappa Manjula,Manjula Gurappa,LA_REORDER,latin,56,1970
391,2699,V000091,Shobha Hanumapa,Shobha Hanumappa,LA_FULL,latin,28,1993
392,2700,V000317,G. Sangappa,Gopal Sangappa,LA_INITIAL_PREFIX,latin,29,1997
393,2701,V000235,Devaraj,Devaraj Mallappa,LA_GIVEN,latin,33,1993
394,2702,V000318,Swetha  Yamanappa ,Shwetha Yamanappa,LA_FULL,latin,30,1996
395,2720,V000185,Lakshmi ,Lakshmi Gurappa,LA_GIVEN,latin,52,1969
396,2721,V000319,Basappa M,Basappa Mariyappa,LA_INITIAL_SUFFIX,latin,45,1981
397,2722,V000320,ರಾಕೇಶ Krishnappa,Rakesh Krishnappa,MIX_KNGIVEN_LAFATHER,mixed,50,1978
398,2724,V000321,Ashok S/o Lingappa,Ashok Lingappa,LA_SONOF,latin,58,1969
399,2754,V000322,Shobha,Shobha Krishnappa,LA_GIVEN,latin,20,2001
400,2764,V000061,ಗೀತಾ ತಂದೆ ರಂಗಪ್ಪ,Geetha Rangappa,KN_TANDE,kannada,40,1988
401,2766,V000159,L. Mariyappa,Lokesh Mariyappa,LA_INITIAL_PREFIX,latin,21,2000
402,2773,V000323,Mallappa Srinivas,Srinivas Mallappa,LA_REORDER,latin,72,1959
403,2782,V000324,Geetha Mallappa,Geetha Mallappa,LA_FULL,latin,25,2000
404,2783,V000325,ದೀಪಕ Mariyappa,Deepak Mariyappa,MIX_KNGIVEN_LAFATHER,mixed,50,1976
405,2785,V000326,ನಂಜುಂಡಪ್ಪ,Nanjundappa Gurappa,KN_GIVEN,kannada,26,2000
406,2790,V000327,Mallikarjuna Lingappa,Mallikarjuna Lingappa,LA_FULL,latin,28,1993
407,2796,V000328,Chikkegowda Ambika,Ambika Chikkegowda,LA_REORDER,latin,31,1996
408,2797,V000052,Lakshmi V,Lakshmi Venkatappa,LA_INITIAL_SUFFIX,latin,63,1965
409,2799,V000329,ಪುಟ್ಟಸ್ವಾಮಿ ತಂದೆ ರಂಗಪ್ಪ,Puttaswamy Rangappa,KN_TANDE,kannada,56,1970
410,2800,V000330,ರಾಜು,Raju Sangappa,KN_GIVEN,kannada,49,1977
411,2821,V000331,Shivakumar Muniyapp,Shivakumar Muniyappa,LA_FULL,latin,49,1976
412,2823,V000332,Erann Navin,Naveen Eranna,LA_REORDER,latin,68,1963
413,2824,V000333,ಲಕ್ಷ್ಮಿ ಲಿಂಗಪ್ಪ,Lakshmi Lingappa,KN_FULL,kannada,39,1989
414,2826,V000334,NANJUNDAPPA CHENNAPPA,Nanjundappa Chennappa,LA_UPPER,latin,46,1980
415,2860,V000335,Kavitha R,Kavitha Rangappa,LA_INITIAL_SUFFIX,latin,36,1989
416,2861,V000336,V.S.,Vijayalakshmi Somappa,LA_INITIAL_BOTH,latin,25,1996
417,2942,V000164,S. Venkatappa,Sunil Venkatappa,LA_INITIAL_PREFIX,latin,36,1990
418,2963,V000026,ShivakumarPuttappa,Shivakumar Puttappa,LA_FULL,latin,62,1969
419,2964,V000337,S. Shivappa,Srinivas Shivappa,LA_INITIAL_PREFIX,latin,37,1989
420,2965,V000338,Yashoda S/o Mariyappa,Yashoda Mariyappa,LA_SONOF,latin,53,1972
421,2966,V000339,Veejay Eranna,Vijay Eranna,LA_FULL,latin,51,1977
422,2970,V000340,Nagesh Yamanappa,Nagesh Yamanappa,LA_FULL,latin,39,1985
423,2971,V000341,ಹರೀಶ,Harish Eranna,KN_GIVEN,kannada,56,1970
424,2988,V000070,Devaraj S/o Mariappa,Devaraj Mariyappa,LA_SONOF,latin,67,1959
425,2991,V000342,ಶಿವಣ್ಣ,Shivanna Siddappa,KN_GIVEN,kannada,28,1998
426,3028,V000343,S.  Basappa,Sharada Basappa,LA_INITIAL_PREFIX,latin,32,1994
427,3030,V000344,Savitha  Basappa,Savitha Basappa,LA_FULL,latin,53,1974
428,3041,V000345,Yashoda Chennapp,Yashoda Chennappa,LA_FULL,latin,31,1994
429,3042,V000346,Rangappa Shivann,Shivanna Rangappa,LA_REORDER,latin,39,1989
430,3058,V000347,Mallikarjuna S,Mallikarjuna Shivappa,LA_INITIAL_SUFFIX,latin,49,1977
431,3061,V000348,Rajanna,Rajanna Chennappa,LA_GIVEN,latin,41,1984
432,3063,V000349,Shankar Siddappa,Shankar Siddappa,LA_FULL,latin,63,1965
433,3076,V000350,Ashok ನಾಗಪ್ಪ,Ashok Nagappa,MIX_LAGIVEN_KNFATHER,mixed,27,1998
434,3079,V000138,N. Gurappa,Nagaraj Gurappa,LA_INITIAL_PREFIX,latin,29,1992
435,3080,V000351,ರೇಖಾ,Rekha Kempegowda,KN_GIVEN,kannada,24,2002
436,3081,V000352,ನಾಗೇಶ Ningappa,Nagesh Ningappa,MIX_KNGIVEN_LAFATHER,mixed,20,2006
437,3089,V000353,ಗೋಪಾಲ ಮಾರಿಯಪ್ಪ,Gopal Mariyappa,KN_FULL,kannada,52,1974
438,3102,V000354,ಶಾರದಾ ಸೋಮಪ್ಪ,Sharada Somappa,KN_FULL,kannada,72,1959
439,3104,V000166,Basappa Praveen ,Praveen Basappa,LA_REORDER,latin,43,1984
440,3105,V000355,ವಿಜಯಲಕ್ಷ್ಮಿ ಬೋರೇಗೌಡ,Vijayalakshmi Boregowda,KN_FULL,kannada,68,1958
441,3106,V000356,Shobha S/o Fakirappa,Shobha Fakirappa,LA_SONOF,latin,45,1983
442,3107,V000149,Manjunath S/o Ningappa,Manjunath Ningappa,LA_SONOF,latin,30,1994
443,3108,V000357,Doddabasappa  s/o. Durgappa,Doddabasappa Durgappa,LA_SONOF_DOT,latin,61,1966
444,3111,V000358,ಲೋಕೇಶ ಪುಟ್ಟಪ್ಪ,Lokesh Puttappa,KN_FULL,kannada,30,1995
445,3118,V000359,ನಾಗೇಶ ನಿಂಗಪ್ಪ,Nagesh Ningappa,KN_FULL,kannada,63,1963
446,3119,V000360,Erappa V,Erappa Venkatappa,LA_INITIAL_SUFFIX,latin,29,1997
447,3125,V000361,ನವೀನ ಲಿಂಗಪ್ಪ,Naveen Lingappa,KN_FULL,kannada,43,1982
448,3133,V000362,ಚಂದ್ರು ಫಕೀರಪ್ಪ,Chandru Fakirappa,KN_FULL,kannada,22,1999
449,3136,V000363,Harish S/o Mallappa,Harish Mallappa,LA_SONOF,latin,34,1992
450,3143,V000364,ಮಲ್ಲಿಕಾರ್ಜುನ‍ ಫಕೀರಪ್ಪ,Mallikarjuna Fakirappa,KN_FULL,kannada,57,1969
451,3144,V000024,ಮಂಜುನಾಥ ಗುರಪ್ಪ,Manjunath Gurappa,KN_FULL,kannada,48,1976
452,3145,V000365,ಶ್ರೀನಿವಾಸ,Srinivas Siddappa,KN_GIVEN,kannada,49,1977
453,3146,V000366,ರೇಖಾ Venkatapp,Rekha Venkatappa,MIX_KNGIVEN_LAFATHER,mixed,55,1973
454,3147,V000367,ಅಯ್ಯಪ್ಪ Yamanappa,Ayyappa Yamanappa,MIX_KNGIVEN_LAFATHER,mixed,56,1970
455,3148,V000368,Arun Durgapp,Arun Durgappa,LA_FULL,latin,25,2000
456,3149,V000035,Yashoda S/o Basapp,Yashoda Basappa,LA_SONOF,latin,38,1983
457,3153,V000369,Ganesh S/o Puttappa ,Ganesh Puttappa,LA_SONOF,latin,59,1968
458,3156,V000370,Shwetha Gurappa,Shwetha Gurappa,LA_FULL,latin,72,1959
459,3187,V000206,Thimmaraju,Thimmaraju Puttappa,LA_GIVEN,latin,65,1962
460,3188,V000371,ರೇಣುಕಾ Fakeerappa,Renuka Fakirappa,MIX_KNGIVEN_LAFATHER,mixed,50,1976
461,3190,V000372,Nagaraj Krishnappa,Nagaraj Krishnappa,LA_FULL,latin,28,1998
462,3191,V000373,Somapa Srinivas,Srinivas Somappa,LA_REORDER,latin,60,1967
463,3192,V000374,ಗೋಪಾಲ ಯಮನಪ್ಪ,Gopal Yamanappa,KN_FULL,kannada,61,1965
464,3220,V000096,ಸೋಮಶೇಖರ ರಾಮೇಗೌಡ,Somashekar Ramegowda,KN_FULL,kannada,37,1988
465,3221,V000375,Pushpa S/o Eranna,Pushpa Eranna,LA_SONOF,latin,43,1983
466,3223,V000376,ಗಣೇಶ Fakirappa,Ganesh Fakirappa,MIX_KNGIVEN_LAFATHER,mixed,46,1980
467,3259,V000022,ರಾಜು ಬೋರೇಗೌಡ,Raju Boregowda,KN_FULL,kannada,50,1981
468,3266,V000377,BHAGYA CHIKKEGOWDA,Bhagya Chikkegowda,LA_UPPER,latin,56,1965
469,3285,V000378,Venkattesh Chennappa,Venkatesh Chennappa,LA_FULL,latin,29,1992
470,3300,V000379,Srinivas Ningappa,Srinivas Ningappa,LA_FULL,latin,44,1987
471,3337,V000380,Basavaraj Yamanappa,Basavaraj Yamanappa,LA_FULL,latin,62,1963
472,3340,V000123,Doddabasappa Y,Doddabasappa Yamanappa,LA_INITIAL_SUFFIX,latin,62,1964
473,3355,V000381,Venkatesh ,Venkatesh Hanumappa,LA_GIVEN,latin,16,2005
474,3356,V000382,Savitha Nagappa,Savitha Nagappa,LA_FULL,latin,40,1981
475,3360,V000383,Basavaraj Nagappa,Basavaraj Nagappa,LA_FULL,latin,53,1972
476,3364,V000184,Vijayalakshmi Krishnappa ,Vijayalakshmi Krishnappa,LA_FULL,latin,34,1987
477,3366,V000384,ಮಂಜುಳಾ ಬೋರೇಗೌಡ,Manjula Boregowda,KN_FULL,kannada,61,1967
478,3367,V000385,BHAGYA SANGAPP,Bhagya Sangappa,LA_UPPER,latin,36,1992
479,3369,V000386,ಮಧು,Madhu Lingappa,KN_GIVEN,kannada,53,1973
480,3370,V000387,Naveen Mallappa,Naveen Mallappa,LA_FULL,latin,56,1970
481,3376,V000276,Shivakumar Sangapp,Shivakumar Sangappa,LA_FULL,latin,33,1994
482,3377,V000388,D.B. ,Devaraj Basappa,LA_INITIAL_BOTH,latin,51,1975
483,3383,V000389,Manjul,Manjula Timmappa,LA_GIVEN,latin,67,1959
484,3387,V000390, Roopa Y,Roopa Yamanappa,LA_INITIAL_SUFFIX,latin,35,1989
485,3397,V000391,Bhagy,Bhagya Ningappa,LA_GIVEN,latin,53,1978
486,3405,V000392,ನಿಂಗರಾಜ ಫಕೀರಪ್ಪ,Ningaraj Fakirappa,KN_FULL,kannada,37,1989
487,3421,V000393,Srinivas Doddappa,Srinivas Doddappa,LA_FULL,latin,45,1983
488,3422,V000394,Lakshmi,Lakshmi Hanumappa,LA_GIVEN,latin,25,1996
489,3429,V000395,Shobha S/o Timmappa,Shobha Timmappa,LA_SONOF,latin,30,1996
490,3438,V000396,ಮಧು‍ ಸೋಮಪ್ಪ,Madhu Somappa,KN_FULL,kannada,50,1976
491,3450,V000397,Girish ನಾಗಪ್ಪ,Girish Nagappa,MIX_LAGIVEN_KNFATHER,mixed,33,1993
492,3451,V000398,ಯಶೋದಾ,Yashoda Eranna,KN_GIVEN,kannada,20,2001
493,3461,V000399,Gangadhar Nagappa,Gangadhar Nagappa,LA_FULL,latin,51,1973
494,3465,V000058,ಮಹೇಶ ತಂದೆ ಬೋರೇಗೌಡ,Mahesh Boregowda,KN_TANDE,kannada,23,1998
495,3484,V000400,ಶ್ರೀನಿವಾಸ ಹನುಮಪ್ಪ,Srinivas Hanumappa,KN_FULL,kannada,60,1965
496,3485,V000401,Ayyappa  N,Ayyappa Ningappa,LA_INITIAL_SUFFIX,latin,28,1998
497,3507,V000402,ಸುರೇಶ ಬೋರೇಗೌಡ,Suresh Boregowda,KN_FULL,kannada,24,1997
498,3509,V000403,ಕವಿತಾ ದೊಡ್ಡಪ್ಪ,Kavitha Doddappa,KN_FULL,kannada,58,1970
499,3510,V000404,ರೇಣುಕಾ ತಂದೆ ರಂಗಪ್ಪ,Renuka Rangappa,KN_TANDE,kannada,66,1959
500,3514,V000405,ANAND NAGAPPA,Anand Nagappa,LA_UPPER,latin,36,1990
501,3515,V000406,ಶಿವಕುಮಾರ ತಂದೆ ಮಲ್ಲಪ್ಪ,Shivakumar Mallappa,KN_TANDE,kannada,54,1972
502,3516,V000407,ಶಿವಕುಮಾರ ರಂಗಪ್ಪ,Shivakumar Rangappa,KN_FULL,kannada,22,2004
503,3541,V000408,Manjula F,Manjula Fakirappa,LA_INITIAL_SUFFIX,latin,57,1971
504,3543,V000191,ಶ್ವೇತಾ ಶಿವಪ್ಪ,Shwetha Shivappa,KN_FULL,kannada,45,1982
505,3547,V000409,Deepak S/o Puttappa,Deepak Puttappa,LA_SONOF,latin,32,1994
506,3569,V000206,THIMMARAJU PUTTAPPA,Thimmaraju Puttappa,LA_UPPER,latin,63,1962
507,3579,V000410,ಗಣೇಶ Eranna ,Ganesh Eranna,MIX_KNGIVEN_LAFATHER,mixed,57,1974
508,3580,V000411,Sharanappa Kempegowda ,Sharanappa Kempegowda,LA_FULL,latin,54,1977
509,3585,V000412,ಈರಪ್ಪ,Erappa Nagappa,KN_GIVEN,kannada,47,1981
510,3593,V000413,Rakesh,Rakesh Yamanappa,LA_GIVEN,latin,55,1969
511,3595,V000414,Nagaratna,Nagaratna Kempegowda,LA_GIVEN,latin,23,2002
512,3608,V000255,Sunitha Erana,Sunitha Eranna,LA_FULL,latin,52,1973
513,3610,V000308,ಸವಿತಾ ತಂದೆ ಬಸಪ್ಪ,Savitha Basappa,KN_TANDE,kannada,62,1964
514,3611,V000415,ಈರಪ್ಪ,Erappa Sangappa,KN_GIVEN,kannada,33,1993
515,3614,V000020,Savitha Lingappa,Savitha Lingappa,LA_FULL,latin,34,1992
516,3618,V000416,Shankar Hanumappa,Shankar Hanumappa,LA_FULL,latin,38,1990
